Word;Frequency;Percentage
except;1;0.171233 %
event;1;0.171233 %
esteems;1;0.171233 %
esteem;1;0.171233 %
entrance;1;0.171233 %
entered;1;0.171233 %
enjoy;1;0.171233 %
engage;1;0.171233 %
either;1;0.171233 %
distant;1;0.171233 %
dissuade;1;0.171233 %
disposing;1;0.171233 %
dispatched;1;0.171233 %
discovery;1;0.171233 %
discourse;1;0.171233 %
diminution;1;0.171233 %
difficulty;1;0.171233 %
did;1;0.171233 %
desirous;1;0.171233 %
denoting;1;0.171233 %
delivered;1;0.171233 %
delighted;1;0.171233 %
decisively;1;0.171233 %
death;1;0.171233 %
dearest;1;0.171233 %
daughter;1;0.171233 %
curiosity;1;0.171233 %
cultivated;1;0.171233 %
cousin;1;0.171233 %
court;1;0.171233 %
county;1;0.171233 %
cordially;1;0.171233 %
contrasted;1;0.171233 %
consider;1;0.171233 %
concerns;1;0.171233 %
compliment;1;0.171233 %
compass;1;0.171233 %
civility;1;0.171233 %
china;1;0.171233 %
cheered;1;0.171233 %
certain;1;0.171233 %
cease;1;0.171233 %
cause;1;0.171233 %
can;1;0.171233 %
calling;1;0.171233 %
call;1;0.171233 %
brother;1;0.171233 %
branch;1;0.171233 %
blushes;1;0.171233 %
believing;1;0.171233 %
believed;1;0.171233 %
behaviour;1;0.171233 %
behaved;1;0.171233 %
begin;1;0.171233 %
before;1;0.171233 %
away;1;0.171233 %
assurance;1;0.171233 %
assistance;1;0.171233 %
asked;1;0.171233 %
any;1;0.171233 %
anxious;1;0.171233 %
amiable;1;0.171233 %
alone;1;0.171233 %
allowance;1;0.171233 %
allow;1;0.171233 %
age;1;0.171233 %
advanced;1;0.171233 %
admitted;1;0.171233 %
addition;1;0.171233 %
acuteness;1;0.171233 %
account;1;0.171233 %
able;1;0.171233 %
Yet;1;0.171233 %
Wrote;1;0.171233 %
Wrong;1;0.171233 %
Went;1;0.171233 %
Waiting;1;0.171233 %
Uncommonly;1;0.171233 %
These;1;0.171233 %
Talking;1;0.171233 %
Stuff;1;0.171233 %
Spring;1;0.171233 %
Small;1;0.171233 %
Resources;1;0.171233 %
Real;1;0.171233 %
Procured;1;0.171233 %
Possession;1;0.171233 %
Pasture;1;0.171233 %
Overcame;1;0.171233 %
Middletons;1;0.171233 %
Met;1;0.171233 %
Material;1;0.171233 %
Manners;1;0.171233 %
Lose;1;0.171233 %
Looked;1;0.171233 %
Learning;1;0.171233 %
Is;1;0.171233 %
Invitation;1;0.171233 %
Interested;1;0.171233 %
Inhabiting;1;0.171233 %
Indeed;1;0.171233 %
In;1;0.171233 %
However;1;0.171233 %
Has;1;0.171233 %
Had;1;0.171233 %
Great;1;0.171233 %
Gentleman;1;0.171233 %
Friendship;1;0.171233 %
Few;1;0.171233 %
Exquisite;1;0.171233 %
Expect;1;0.171233 %
Evening;1;0.171233 %
Estimable;1;0.171233 %
Especially;1;0.171233 %
Effects;1;0.171233 %
Ecstatic;1;0.171233 %
Do;1;0.171233 %
Difficult;1;0.171233 %
Delay;1;0.171233 %
Day;1;0.171233 %
Dashwood;1;0.171233 %
Court;1;0.171233 %
Country;1;0.171233 %
Certainty;1;0.171233 %
Celebrated;1;0.171233 %
But;1;0.171233 %
Because;1;0.171233 %
As;1;0.171233 %
Answer;1;0.171233 %
Among;1;0.171233 %
Almost;1;0.171233 %
